HV[V*1000],Counts
1.848, 4
1.902, 35
1.950, 106
2.002, 421
2.051, 560
2.103, 1966
2.152, 3611
2.208, 5590
2.251, 7805
2.302, 9691
2.349, 11529
2.402, 16505
2.452, 26755
2.500, 52713
2.552, 81873
2.600, 103213
