HV[V*1000],Counts
1.851, 0
1.900, 7
1.952, 30
2.000, 78
2.051, 147
2.103, 688
2.153, 1851
2.201, 3207
2.251, 4858
2.300, 7801
2.350, 22549
2.403, 65424
2.451, 118722
2.501, 118065
2.551, 231658
2.600, 279593
