HV[V*1000],Counts
1.848, 329
1.899, 1651
1.950, 5635
1.999, 14818
2.050, 31284 
2.104, 48571
2.147, 64326
2.197, 89036
2.250, 215906
2.303, 351221
2.354, 474853
2.403, 583759
2.450, 674784
2.503, 866967
2.552, 1071808
2.607, 1443034
